Тест-кейс 1;Существующий город q латинском языке. Используемый параметр - ;q=london;200;
Тест-кейс 2;Существующий город q на русском языке. Используемый параметр - ;q=Москва;200;
Тест-кейс 3;Существующий город q на латинском языке, страна этого города. Используемый параметр - ;q=ru,Novosibirsk;200;
Тест-кейс 4;Существующий город q на русском языке, его область на русском,его страна. Используемый параметр - ;q=Париж,Челябинская область,ru;200;
Тест-кейс 5;Негативный. Существующий город q на латинском языке, страна не этого города. Используемый параметр - ;q=london,ja;404;
Тест-кейс 6;Негативный. Несуществующий город q (набор символов произвольный). Используемый параметр - ;q=++++++++++;404;
Тест-кейс 7;Негативный. Существующий город q на русском языке, его область на русском, не его страна. Используемый параметр - ;q=Париж,Челябинская область,fr;404;
Тест-кейс 8;Координаты, разделитель точка '.' Используемый параметр - ;lat=57.92393&lon=59.40593;200;
Тест-кейс 9;Координаты, разделитель запятая ',' Используемый параметр - ;lat=57,92393&lon=59,40593;200;
Тест-кейс 10;Негативный. Одна оордината в общем формате, вторая - символ (*). Используемый параметр - ;lat=57,92393&lon=**;400;
